local_id,name,longitude,latitude,type,region,uuid
59700MS,Brunico,11.9315,46.8043,METEO,AA,cbfc3064-35d8-44bd-9592-37dc629fb0f8
85120MS,Nova Ponente,11.4269,46.4205,METEO,AA,0d706871-12ce-46f2-b5d6-1146dd6dafa5
83200MS,Bolzano,11.3128,46.4977,METEO,AA,6fc700fa-bdf7-4cc4-a0f0-fd60b2d96b34
86900MS,Ora,11.305,46.3469,METEO,AA,9f3a8b66-d79a-43d4-af10-25bb6718eccb
39100MS,Bressanone,11.6442,46.7305,METEO,AA,8b805917-4a2a-4147-84b5-26b7c8861068
08200MS,Lasa - Oris,10.6496,46.6249,METEO,AA,cc18fbf0-073e-4993-a3f7-4001a1d22955
23200MS,Merano,11.1366,46.688,METEO,AA,5a9bfa67-56f9-44f9-a945-b2f9a603160d
47400MS,Anterselva di Sopra,12.1166,46.8704,METEO,AA,dbdcdf66-fd1b-42bf-8f6c-0521383efd59
86600MS,Laimburg,11.2887,46.3825,METEO,AA,91f3eddc-a652-4816-b33c-a8de83130f7c
37700MS,Fortezza Le Cave,11.5488,46.8125,METEO,AA,92d76a39-2c11-4a33-9821-ec912812ce75
74900MS,Barbiano Colma,11.5291,46.5951,METEO,AA,0c20c02d-d178-413f-9be4-a3f44885b581
22950PG,PASSIRIO A MERANO,11.17721,46.68396,METEO,AA,820240ca-4f91-4b8b-a610-c68c5bd7b1c3
03750PG,RIO RAM A LAUDES,10.5239,46.67082,METEO,AA,13ddb7ef-4cbf-4dd8-9a99-58999d6834a6
42850PG,RIO BRAIES A BRAIES DI FUORI,12.13444,46.73912,METEO,AA,a79d2bce-4626-4273-8884-22b47f72cf68
51450PG,AURINO A CADIPIETRA,11.98027,46.99459,METEO,AA,d87534f1-15db-4ec8-a6aa-1013c34785b4
20750PG,RIO PLAN A ESCHBAUM,11.10271,46.80145,METEO,AA,4b6d0ea4-c60b-4115-8ccd-39750ed33f8b
26950PG,VALSURA A LANA,11.16523,46.62764,METEO,AA,8c305684-f7c6-48d5-a5be-07295cbf835e
91850PG,DRAVA A VERSCIACO,12.33783,46.73355,METEO,AA,7e6d3c12-2a94-434b-9f50-989b42193751
89190MS,Caldaro Pianizza di Sopra,11.2525,46.4423,METEO,AA,f441afad-9f15-4a09-937d-ed15e0ba82a4
22210MS,S. Martino in Passiria,11.2296,46.7824,METEO,AA,58f3faee-f010-4b67-805a-8db5b62173ed
25900MS,S. Valburga,10.9898,46.5417,METEO,AA,94f0a061-5e1c-482f-bbd0-cc8d427f8b99
73500MS,Selva di V. Gardena,11.7684,46.5456,METEO,AA,bd287c73-cd73-4628-ba9d-ea6a6aa2d344
68600MS,Valles,11.6272,46.8483,METEO,AA,0d33dae8-7f8e-45f2-9bef-b5734dab9bc6
02200MS,S. Valentino alla Muta,10.5289,46.7759,METEO,AA,a8f0220d-7b87-4c10-b15b-9bda5379750e
03100MS,Tubre,10.4615,46.6373,METEO,AA,9e68a19b-53ef-4f3e-afc2-7054a7908f53
41000MS,Dobbiaco,12.2191,46.7299,METEO,AA,b70b306d-943a-48ab-a554-6e7fa2e68445
75600MS,Fie' allo Sciliar,11.506,46.5134,METEO,AA,b711c0d0-4042-4727-852b-c457cbcc2056
62600MS,S. Martino in Badia,11.8979,46.6792,METEO,AA,10e39920-4441-416a-b76e-465ee85a6db0
74200MS,Alpe di Siusi Zallinger,11.6888,46.5119,METEO,AA,25458a2f-b928-4c5b-8199-cff0baca00a4
11400MS,Alta Val Martello,10.7269,46.5169,METEO,AA,239ddb22-93e5-470a-8b5f-090f23b55ff6
02500MS,Monte Maria,10.5213,46.7057,METEO,AA,f5dc2fbe-e2ab-489d-b928-ac8bd7eec3ee
33500MS,Val di Vizze San Giacomo,11.5981,46.9656,METEO,AA,8015b859-5845-4968-b209-48493875ea53
44500MS,S. Maddalena in Casies,12.2427,46.8353,METEO,AA,7343622f-8c43-4446-856a-6d659fd43a7d
06400MS,Solda,10.5953,46.5159,METEO,AA,43b6cbbd-52a7-47ac-aeab-b909b4bdc1b8
65600MS,Terento,11.7856,46.8345,METEO,AA,5fe8da77-80e0-4e3f-a7fc-91d8c5b60430
24400MS,Ultimo Fontana Bianca,10.8318,46.4868,METEO,AA,c3cd1c0d-c7da-484c-a407-f33548a3a04a
43200MS,Monguelfo,12.1289,46.7431,METEO,AA,07d9575d-a79d-4b2e-9592-abe2097c7638
78305MS,Nova Levante,11.5366,46.4289,METEO,AA,052c2793-8652-4c95-a3ae-b59b13005a75
56500MS,Selva dei Molini,11.8744,46.8901,METEO,AA,212154d4-1402-4cf5-8591-695f297133dd
42700MS,S. Vito di Braies,12.1,46.7119,METEO,AA,99903e20-8c5d-41eb-85d3-d46b0bf58e30
15800MS,Senales Vernago,10.8493,46.7357,METEO,AA,51734fd1-13eb-4786-bf92-3d33ad7a8df7
07740WS,Trafoi Zaufenkofel,10.5397,46.5556,METEO,AA,854a99e4-0b7a-4435-9523-bf9f2efd3e10
79770GW,Bolzano Mila,11.382872,46.493952,METEO,AA,092672c8-45a6-4505-bc32-a39e205dc2a6
15590SF,Senales Finale,10.8224,46.7412,METEO,AA,27b287eb-c694-4a1a-b302-38bdec0df9aa
83070GW,Bolzano Bagni di Zolfo,11.295332,46.504285,METEO,AA,ce570960-316f-4343-bbad-bdd49a34d545
27020GW,Postal,11.188362,46.601248,METEO,AA,394ba46e-fc40-44e6-b0ea-3d9777729171
27001GW,Lana Lorenzenweg,11.149748,46.618612,METEO,AA,86031a43-504f-4531-9869-3042b6176463
27010GW,Lana campo sportivo,11.175919,46.608731,METEO,AA,b2fe43ff-6e77-4260-a3c2-19bddafaec50
84415GW,Leifers Sportplatz,11.33893,46.4297,METEO,AA,72b8ae5d-2e8c-4f03-ba59-7a9f68208360
23250GW,Merano foro boario,11.149046,46.670283,METEO,AA,c38394fe-e640-4377-a639-8512bbc77c6e
23350GW,Merano ippodromo,11.1529158,46.663578,METEO,AA,f4ac623a-6fbc-4646-b67e-f8d687196413
19350GW,Naturno,10.9912,46.6478,METEO,AA,c3942450-823b-4c06-8e6d-e412a1de670f
08105GW,Prato allo Stelvio,10.6108,46.6199,METEO,AA,d9d360c9-2336-4d72-a26d-3b4d64962c89
89935GW,Salorno stazione,11.199431,46.243394,METEO,AA,6c693cd9-b2a0-4bcf-a4e7-d03f1fdc93ba
28620GW,Terlano Kuhmoos,11.24897,46.524159,METEO,AA,c7de8549-7e45-4db5-a96e-0e931f89d8ff
65350MS,Vandoies,11.7534,46.8111,METEO,AA,6897f1eb-35a2-46f1-949a-efe1731940d7
89950SE,Lago di Favogna,11.184085,46.27422,METEO,AA,072d58bb-644a-42d4-9fef-2aabb36a22e8
02250SE,Lago di S.Valentino alla Muta,10.534527,46.74954,METEO,AA,a44c672f-c0ab-4f5f-a212-84194db49058
78150SE,Lago di Carezza,11.575478,46.40997,METEO,AA,93eaddca-8ad7-4991-aaf5-d7be1752ecc5
89940GW,Adige - Salorno,11.20262,46.24333,METEO,AA,0e421204-e3cf-46c3-8da1-ec98acb67607
01080SF,Melago Monte Pratzen,10.6247,46.8468,METEO,AA,50406548-fb47-470d-a046-d54a27f747c2
20050SF,Alpe del Tumulo,11.1487,46.9136,METEO,AA,c8ce5943-2388-4003-9833-cdca11cbb257
82910MS,San Genesio,11.3319,46.5304,METEO,AA,10b0fecd-630d-4643-b105-5867701daf3a
47150SE,Lago di Anterselva,12.162387,46.883812,METEO,AA,c29ef70b-504e-4e86-a380-82789a498041
89357PG,Grosser Kalterergraben,11.257464,46.36426,METEO,AA,8a690193-aecf-43bb-8d3d-031e8630f832
35205SF,Racines Malga Wasserfaller,11.2987,46.8456,METEO,AA,ab0accb1-7ecd-42b2-8c27-96ad9f5128c8
24170WS,Ultimo Cima di Fontana Bianca,10.774,46.494,METEO,AA,7b7d79d0-3815-470e-a4f2-3f81e8303d82
53200SF,Rio Bianco Malga Fadner,11.8614,46.9256,METEO,AA,a3040c08-f745-4b68-b73d-5e3e7b1f4e9a
42830SF,Braies Alpe Cavallo,12.1115,46.6712,METEO,AA,f891e084-7fd1-4ce5-a0fd-4b6f7b3ff7fd
27100MS,Gargazzone,11.2008,46.5767,METEO,AA,7cbcf776-86ee-4ce9-8f9c-862b23021a21
89155SE,Lago Grande di Monticolo,11.28739,46.422344,METEO,AA,5a9c4d40-0c1e-4c72-a179-01f26a60510a
89355SE,Lago di Caldaro,11.259267,46.385859,METEO,AA,f717078a-00a2-4a4d-9eba-7de93aa55ba3
85700MS,Bronzolo,11.3111,46.4065,METEO,AA,5b49b942-2989-41da-91f7-90e0b600c3cf
89055SE,Lago Piccolo di Monticolo,11.294289,46.430474,METEO,AA,325b8d7d-1b8a-4816-8b34-003af8557292
42150SE,Lago di Braies,12.083374,46.69598,METEO,AA,f07ad2db-babf-4e3b-8487-75148a35fb41
39050SE,Lago di Varna,11.634545,46.766315,METEO,AA,da73b20e-f570-410a-8503-062dc775cd7c
79450SE,Lago di Costalovara,11.427694,46.521128,METEO,AA,a260991b-f11b-4a01-b98d-99c85a3717a6
10750PG,Plimabach - Zufallhütte,10.67675,46.47625,METEO,AA,9a6be6a8-e8a6-4253-a875-78671dfc7fd8
83450PG,ISARCO A BOLZANO SUD,11.30278,46.45877,METEO,AA,f85b7c0a-ed91-471e-ac0c-ce99d75f6b83
32470PG,ISARCO A VIPITENO,11.442841,46.892976,METEO,AA,577a3cae-a6f2-4159-b99d-0bcdc179b568
87300MS,Redagno,11.3968,46.3465,METEO,AA,2f7f9f4c-f209-45c6-9c3f-8d66d6898d41
27890GW,Vilpiano vigili del fuoco,11.2278767,46.559284,METEO,AA,45633780-52d8-4dbe-9a5f-28121c457e1b
83360GW,Bolzano via Einstein 2,11.33072,46.468,METEO,AA,775fd14a-8509-4031-8df9-ea11e3944e1f
89740GW,Cortaccia Egna 6,11.231609,46.294089,METEO,AA,91fd08ff-4e72-408e-9b68-8b5379cca036
66500MS,Fundres,11.7029,46.8872,METEO,AA,315a7ad6-0218-4c7a-b63b-4e465c435d28
27025GW,Gargazzone campo sportivo,11.200755,46.576898,METEO,AA,1eb3c986-6e9b-4721-9ad0-99f00656a5fe
79865GW,Bolzano ferrovia,11.365063,46.49501,METEO,AA,1f8149e5-67f6-40b6-8f12-e72ccf585ab2
79875GW,Bolzano via Marconi-via Dante,11.35032,46.49525,METEO,AA,35737343-ef48-4e50-ac26-6e32af0720ff
83310GW,Bolzano via Einstein 1,11.326769,46.468322,METEO,AA,d8aaaac8-6c01-4f27-8270-b250f75b47a9
83380GW,Bozen Gruzzen Tomasini,11.3111,46.45127,METEO,AA,da8ae36d-dd01-46e3-857a-b27cfed6e1fb
83320GW,Bolzano via Siemens,11.3306,46.4828,METEO,AA,f16e3ea6-df3d-4e47-84d6-5daa4e6ea3ce
89720GW,Cortaccia Egna 5,11.230929,46.310564,METEO,AA,b99a0ffd-3d40-4888-a76c-be32f8436fa2
27930GW,Nalles nord segheria,11.219198,46.546421,METEO,AA,093661d8-27d5-4012-a1c2-17abd447d556
83250GW,Bolzano centro lungodegenti,11.3057975,46.488388,METEO,AA,5d7fc192-f36f-4590-b496-8d9bcb309eec
20910MS,Plata in Passiria,11.1762,46.8215,METEO,AA,2cd35463-92cf-4d67-944e-1c694be73b8b
31410MS,Fleres,11.3793,46.9557,METEO,AA,44676ced-2049-4d94-8726-ead208618733
78110MS,Passo di Costalunga,11.6017,46.4092,METEO,AA,d371add0-1c20-4edf-8c4f-71bf87200724
32615GW,Vipiteno,11.4292,46.897715,METEO,AA,af0b8522-5bc5-47db-af6e-ed061dd5bf24
84435GW,Branzoll Sgarbossa,11.31086,46.417448,METEO,AA,2e012b9f-5426-41ca-9bcd-800166918d98
87940GW,Egna Stiermoos-bis,11.259151,46.30538,METEO,AA,dcc3179b-f820-4f56-8a01-78b71c0bade5
86315GW,Ora incrocio,11.293839,46.346989,METEO,AA,30191972-1034-4997-a41c-8e2e93de0972
15570PG,Rio Senales - Gerstgras,10.80693,46.73321,METEO,AA,40ee390b-40b8-4792-a7c7-0557b18961db
27935GW,Nalles sud-segheria,11.219197,46.546403,METEO,AA,510be77e-ef6a-41f4-8f52-07c22298302c
59500GW,S.Giorgio Brunico,11.940887,46.808022,METEO,AA,7b6dfa02-2285-4519-a6d6-eb1d2daaceaf
69420GW,Bressanone giardino universitá,11.65283,46.714083,METEO,AA,0609df07-726b-468b-aaef-7d4e7aee30d8
79870GW,Bolzano Scuola Parco Madonna,11.354633,46.501316,METEO,AA,1696402f-6ed3-4fa8-8d3d-d7ee2e07e2d0
83025GW,Bolzano via Roen,11.33493,46.4975,METEO,AA,f837cb7a-29d6-452a-88ec-9ee9802f9c42
91510MS,Sesto,12.3577,46.6915,METEO,AA,b722c778-fdd5-432b-a86e-330007b23859
BZ4,Bolzano 4 - Via C.Augusta,11.3418333333333,46.4823055555555,AIRQUALITY,AA,fef6f363-3573-429d-929f-7234b45775a3
ME1,Merano - Via Trogmann,11.161625,46.662,AIRQUALITY,AA,36c49170-82e5-445e-8141-2d313f247338
BX1,Bressanone - Villa Adele - Viale Ratisbona,11.6540833333333,46.7149166666667,AIRQUALITY,AA,e79126ba-4528-44e0-853d-ab824ebb336f
BR1,Brunico - Parcheggio Goethe,11.9440277777778,46.7973472222222,AIRQUALITY,AA,f9680d36-3604-4b2e-b132-661263a0aea3
RE1,"Renon - Corno di Renon / Via Tann, Grünwald",11.4331666666667,46.5896666666667,AIRQUALITY,AA,8e664baf-2490-48dc-b866-efeb44c6954a
LA1,Laces - Via Stazione,10.8590555555555,46.6194722222222,AIRQUALITY,AA,a2af54d2-3f30-40de-bfe6-df703002ae31
BZ5,Bolzano 5 - Piazza Adriano,11.3399722222222,46.4954722222222,AIRQUALITY,AA,1c343454-9d3c-42cc-bf00-c94354f4fcc1
AB2,Autostrada Sud - Egna,11.2793333333333,46.3436527777778,AIRQUALITY,AA,86d09df0-95b7-4b5f-a775-52ed7ddd23cd
LS1,Laives - Via Galizia,11.3401388888889,46.4348333333333,AIRQUALITY,AA,7032100e-eb98-414d-95a5-7a2523c9e238
ML2,"autostrada Sud km 107, BrennerLEC",11.2375277777778,46.2888888888889,AIRQUALITY,AA,a695f477-63d4-49f7-84de-0ac16e55a43d
ML5,"autostrada Sud km 103, BrennerLEC",11.2669166666667,46.3209722222222,AIRQUALITY,AA,799e45bd-f0e5-469b-8520-e6874b4328dc
ML6,"Bolzano, via Roma, ex-Saetta",11.3441944444444,46.4878888888889,AIRQUALITY,AA,105339c9-4dcb-4f15-97d8-80a0aaae2a24
CR1,Cortina ssdV - Strada del Vino,11.2271111111111,46.2673333333333,AIRQUALITY,AA,ec168617-4d96-4ed1-b4fc-09e9bd606c20
BZ6,Bolzano 6 - Via Amba Alagi giardino,11.3419722222222,46.4991666666667,AIRQUALITY,AA,2b5eb64d-8edc-4c2b-bc44-c3e53ec9759c
AB3,Autostrada Nord - Bressanone,11.6333055555556,46.6875555555555,AIRQUALITY,AA,d65c0dfa-012b-4e62-85b1-c8d52e37d18a
CR2,Cortina ssdV - Via Paludi,11.2232416666667,46.2640638888889,AIRQUALITY,AA,38379bda-dd0a-4d4d-a82e-7be06351e0c0
,ADEGLIACCO,13.228962533665891,46.11526695278417,METEO,FVG,7ba37aab-17dd-46f0-aad1-c43948e5c536
,ALESSO,13.055621770871124,46.30923472313318,METEO,FVG,067ca213-1f57-4747-84b0-af806fc99906
,ALNICCO,13.165748559489954,46.11785166263679,METEO,FVG,86ef1d37-c51f-4f16-8557-984d23742fb9
,ANDREIS,12.61180199060478,46.1988949565309,METEO,FVG,20f20bc9-e6a8-4936-acfc-d52f5d79112b
,ARBA,12.808211267978548,46.142629636827245,METEO,FVG,4071e005-972b-4baa-bc3e-ddd86e2515fc
,ARZENUTTO,12.870517271033496,46.01661605994126,METEO,FVG,795d661d-c224-49d1-9a44-7a987bb605e6
,AVIANO,12.60275686241393,46.06437645395313,METEO,FVG,b01080f5-488a-4a8f-ac00-9cda53730aba
,AZZIDA,13.494680309366025,46.11838363223248,METEO,FVG,1643ab6e-a13b-45b5-b3f1-4d42e03ce409
,BALDASS,12.572989643665496,46.24226781899073,METEO,FVG,1bf8ab48-562f-4ade-8e11-96538464838f
,BARCIS,12.563568149447155,46.192854355482275,METEO,FVG,252a1878-1383-486c-92b5-d3929e4a1be7
,BARCIS,12.571003949324027,46.19321970250171,METEO,FVG,868ee18e-05cd-4659-8ec4-ff544f27482c
,BASALDELLA DI VIVARO,12.790526168435127,46.08821548411441,METEO,FVG,490fdfca-799f-4c34-a087-2182151c5c78
,BEVORCHIANS,13.189556872670622,46.48617424356374,METEO,FVG,8302840c-27da-4c40-b449-f0ab741a328e
,BICINICCO,13.240105816891848,45.92883615744556,METEO,FVG,3498aeeb-5ce2-4d70-b4ae-2350b3fc79ca
,BIVACCO BIANCHI,13.248693950449233,46.45620864653041,METEO,FVG,c9c2a613-236f-4f0b-acc9-6d3c010c0cfc
,BOA PALOMA,13.564983146094598,45.61833120517339,METEO,FVG,0e42245e-46a5-401d-8b15-791bc540c61d
,BORDANO,13.081162359806898,46.33277813431073,METEO,FVG,3385a77e-3893-45b4-b110-a96c9d3a4d79
,BORGO GROTTA GIGANTE,13.764637748260713,45.709421939705756,METEO,FVG,726b18b3-d7cc-4228-a4e8-573ff12d8403
,BRUGNERA,12.544981742894995,45.91798968373441,METEO,FVG,5222718e-9006-414b-91af-3aa89e9406a1
,CA SELVA,12.700631328744269,46.25865105729275,METEO,FVG,4da9c681-867d-4269-b126-02a4771294d5
,CA ZUL,12.71606504014929,46.29222479579603,METEO,FVG,59297c13-e2a2-409e-83f8-463740210c01
,CAMPONE,12.83067614505794,46.25914199948613,METEO,FVG,6a48c60f-6bd6-40db-bc13-0b9cd0324fe6
,CANDAGLIA,12.442866139153262,46.06413979453631,METEO,FVG,0599cd41-3366-4db8-b2fb-ff6c9a41762f
,CAPRIVA D.F.,13.512319128929786,45.95813167741596,METEO,FVG,8e6fda0f-efcf-4f83-bac8-8a0c550b9252
,CASERA DEL MESTRI,13.141124652136646,46.48128417721955,METEO,FVG,ade92ea7-2897-4fa3-b600-7adb6bba01e4
,CASERA PIELTINIS,12.722958975772709,46.4841502561398,METEO,FVG,25153465-04a2-4488-bb7a-0e2763b1be1b
,CASERA PODESTINE,12.60179606329835,46.297353670402046,METEO,FVG,9a5c23ff-3829-4f2a-9cf0-f90dc0b6c27b
,CASERA PRADUT,12.564020748419209,46.25586513980888,METEO,FVG,6695ea6e-74e8-4465-84d9-3b311a328d6a
,CASERA ZOUFPLAN BASSA,12.983599317109945,46.5574511612016,METEO,FVG,8d55a711-f038-440f-aee2-f61990a61cd2
,CASON DI LANZA,13.168596255526653,46.567898600410196,METEO,FVG,71f6c7c8-ca18-4e68-a1a9-3ba16298311c
,CAVE DEL PREDIL,13.570620545616935,46.44235462482117,METEO,FVG,5179828a-119f-484b-b331-761257ddc833
,CAVE DEL PREDIL,13.567660401700309,46.437079798409805,METEO,FVG,e332cdb7-c5c4-4847-a586-46a9850ec724
,CEDARCHIS,13.035881070277744,46.45639523164141,METEO,FVG,56a07f09-5f1c-40b6-a60f-06cd351da026
,CELLINO di Sopra,12.471342081590116,46.24656137066397,METEO,FVG,fffd0a70-bac3-46fd-a853-ec96bc1c4627
,CERNEGLONS,13.318098076111449,46.05586259236346,METEO,FVG,55f81de5-18e5-4f73-a24a-82e0a958e1a3
,CERVIGNANO STRASSOLDO,13.33697869347907,45.84951741593126,METEO,FVG,3ba47edc-e19e-4419-ac49-93c0ca7a4404
,CHIANSAVEIT,12.626912262782785,46.452047152042155,METEO,FVG,ebb5c1df-6c5c-495a-b61e-86ac7b06b906
,CHIEVOLIS,12.734017578325963,46.254539003234264,METEO,FVG,e056125b-1e31-400a-af73-9c71476b560a
,CHIOUT,13.37187206217415,46.45217046670248,METEO,FVG,ccdcb951-eaf1-49ee-89be-8315635dcc9e
,CHIUSAFORTE,13.317445026555953,46.40479100374457,METEO,FVG,f01b0563-f4ec-4d0b-9e14-edb1911ae79c
,CILIA,12.794993729098298,46.22581572039013,METEO,FVG,ee86494d-3912-401e-8e9a-576194370598
,CIMOLAIS,12.440826480648393,46.28566251261071,METEO,FVG,248ee621-2535-4b18-a248-a5966384b0b1
,CIVIDALE,13.419975427559175,46.080465425034475,METEO,FVG,5b614953-2e36-44da-bcf6-de64a27b3acb
,CIVIDALE T.P.,13.418322290225413,46.096669846120996,METEO,FVG,567b8a34-c5f0-4154-aaf1-87a73d3a0748
,CLAUT LESIS,12.544768363832706,46.27208524958573,METEO,FVG,4795a96f-a7c7-497f-8438-1fbb80f1fa76
,CLAUT TRE PINI,12.500171834626459,46.26357608784781,METEO,FVG,8ac454d4-0b6b-4120-9410-1370264719bb
,CLAUZETTO,12.917939162264616,46.22991318850571,METEO,FVG,cd3696d2-0f0e-4332-b62e-625bd8d668a6
,CLEULIS,13.005691274374882,46.5676481781634,METEO,FVG,5219853a-a3bd-4b10-83e1-c54b77be787c
,CODROIPO,13.002711540344013,45.95238314334201,METEO,FVG,3069fff3-998f-44a8-b808-e57c10ef7614
,COL DELLA GALLINA METEO,12.465892472418748,46.05485157919157,METEO,FVG,75f136b9-6fe3-4ac5-812b-d8b978dae23e
,COLLALTO BORGO DI SOTTO,13.2037753050714,46.19215767596973,METEO,FVG,eba18fbe-6e6f-4bcc-8479-5eebf2960def
